convex_hull_volume,distance_from_center_of_field_to_target,residual_avg,error
50,5.250813253,0.0012817,1.383566631
11.89469999,10.9981519,0.011298704,0.861312277
100,5.742501653,0.23228983,0.486030853
39.00249834,10.95388732,0.483347188,0.958537181
127.1077983,5.459257786,0.439042085,0.185794858
128.07263,11.68123228,0.110954641,0.950434829
111.8861626,15.66975521,0.299388331,0.299099323
181.8873785,4.812762624,0.468590844,0.601124974
91.3426494,11.71030431,0.199323138,0.334828208
50,5.219429537,0.03948176,0.363609157
50,16.05693248,0.11635205,0.836013954
86.82348871,4.658736384,0.056652744,0.767935135
44.6519977,5.867478519,0.531100675,1.098500239
35.97733078,12.29159289,0.072659236,0.794452945
15.60319428,12.44352784,0.235085921,0.72550286
72.15536845,5.278184694,0.532900984,0.071051622
130.3938461,11.78066037,0.082674148,0.340580023
39.34854273,12.42157282,0.045111863,0.703431996
100,5.034884129,0.220930747,1.141606053
50,5.706332483,0.017001171,0.520978777
84.78119587,5.645818869,0.268233292,0.814367476
100,11.76239007,0.520525526,0.212743192
67.1651914,5.911162426,0.02346603,0.819696275
69.07810525,11.78054067,0.414562695,0.29099991
12.35519333,15.81513312,0.024967875,1.196675683
126.1704034,11.41012479,0.086738979,0.520149816
60.35862776,11.55018337,0.775470655,0.663589341
50,4.556045867,0.328227092,1.056270055
6.638384774,10.84675581,0.091697849,1.0610155
125.9472624,5.635053233,0.205286759,0.355001455
43.36161523,6.453048574,0.266217423,1.937857341
50,11.71828947,0.116182572,1.037899298
25.94726244,14.97156385,0.429093897,2.534781383
126.8025911,11.13683453,2.191187285,1.38765999
211.8502259,4.972614185,0.71532769,0.512911461
78.00411212,11.78928483,0.812044554,0.853825673
50,5.46966707,0.482131203,0.169940087
100,4.751534491,0.239260441,0.634255557
44.21331341,4.603712719,0.005265905,0.710375483
50,11.99733706,0.001410532,0.406697377
44.21331341,4.539065266,0.043915212,0.768464918
67.12530314,12.03900395,0.489509212,0.190506404
60.6651992,11.81172521,0.103516121,1.400737091
114.804451,12.14392761,1.010013314,0.521361416
79.60214264,16.65672166,0.4310303,0.824829584
50,16.33283473,0.381721962,0.55140212
33.99868651,11.90494324,0.000586209,0.046478043
65.49467532,6.301199744,0.165571952,1.580375789
7.91866138,5.035954978,0.009970999,11.74861172
100,5.421852601,0.152340853,0.610573605
98.9655943,12.2675432,0.6001745,0.781519561
82.94799419,5.447205969,0.154135221,0.302633746
36.84199854,12.07875393,0.22504034,0.428898602
115.6579687,5.317934654,0.135006321,0.34039194
50,6.773141341,0.328636233,2.659113109
50,6.000396864,0.000172661,1.183570186
56.01120263,10.35715097,0.222318038,3.825727732
130.2871673,7.223223934,0.703094451,2.412533916
132.7967413,4.426029898,0.354111083,0.879236497
46.77922436,11.33547469,0.25081935,2.202975614
9.162993735,13.94742901,0.000310285,8.511934904
43.60505601,12.19855244,0.161795945,1.601358112
149.4590598,10.96207096,3.07511344,1.988499514
50,12.13549985,0.005802432,0.740188912
33.56697342,15.62453298,0.220852693,1.945761194
23.09841166,11.287897,0.050330576,0.844975388
227.3667609,5.377811133,0.184911484,0.372865413
133.5669734,5.492969451,0.058162399,0.335995475
119.3654101,5.860097901,0.422934259,0.827358147
100.3773899,12.26408088,0.169996613,0.415956893
227.3667609,5.543389381,0.388437711,0.271022077
189.7784755,11.34184155,0.149043794,1.736496274
50,5.233069989,0.949071951,0.294469946
100,12.3949492,0.098398623,1.228749197
122.284019,5.558204111,1.099460559,0.265179015
100,5.7541892,0.440091026,0.47292245
76.50429028,11.95682877,0.052354027,0.169486385
124.077275,15.42447024,0.796740011,0.701809456
109.617732,12.41376603,0.048153357,1.07381437
112.2634619,10.89263433,0.07580707,0.966189927
171.7804678,5.808987739,0.189684351,0.950129797
100,5.321912292,0.045315494,0.046910103
50,11.86921086,0.237289447,0.550105408
30.37032335,12.07304637,0.299010045,0.764918912
133.3304847,5.583144245,0.172445815,0.454955577
77.29817406,11.09713332,0.03846793,1.040723734
166.4194076,5.322593498,0.101044529,0.291376083
123.8712625,5.359074734,0.027418697,0.550811109
53.63636962,15.38578267,0.240744738,0.710018418
166.5507602,11.40684434,0.321703014,0.940795112
50,12.32672963,0.098306916,0.750292639
2.698082417,12.29618636,0.416944609,0.448842279
33.48435584,11.76778908,0.15844805,0.430910403
132.4572107,5.233707168,0.101057482,0.201915225
47.30191758,12.0601489,0.43904172,0.277125749
131.307537,5.308696675,0.179775565,0.041425784
114.9005177,5.28338638,0.24408113,0.12475267
86.82074052,16.61822961,1.051181883,0.710533784
208.9868695,5.195254324,0.290094093,0.114305194
100,5.148222497,0.608895378,0.15560988
50,11.91971063,0.201519939,0.332405633
81.09044452,11.8922814,0.144899994,0.703459917
149.8992548,11.86565536,0.201535179,0.008858741
132.4233803,5.314326701,0.139712699,0.148902052
117.6787109,11.92883843,0.259467302,0.545314113
119.2660249,15.67887737,0.391490554,0.994989624
258.7543509,5.387928215,0.357201686,0.810681985
189.4416751,5.581327585,0.159459277,0.670957664
50,4.831123085,0.341293407,1.494096644
59.47253775,12.15460603,0.008243693,0.516602428
133.2960853,6.16395703,0.245111751,1.49283419
125.8899602,5.062113049,0.367367087,0.554049816
116.1177023,11.67569155,0.021921001,0.185885071
63.32922674,12.3087259,0.194812133,1.428059501
168.8375094,5.819564684,0.142441069,0.517682751
32.52681401,13.14903203,0.206691046,1.290997722
30.56228925,16.882159,0.257457865,1.146729048
50,11.87382142,0.0086531,0.04832065
50,5.641976136,0.030654365,0.79089982
43.55643725,15.59205635,0.000920982,1.787319594
201.1703761,4.917411712,0.091421138,0.394523159
55.20155659,11.49598917,0.298823461,1.171469566
203.9512379,5.162867525,0.243385719,0.470265753
87.83815041,5.350095507,0.436586141,0.306106018
128.2427495,11.99860304,0.758345309,1.085604997
177.5557522,11.48655482,0.337803333,0.461150217
50,4.506547982,0.093271432,0.965444201
39.05976967,12.25283274,1.369224084,0.814832531
34.16416303,12.38385159,0.236107659,0.527202344
42.60815847,4.947096291,0.046825767,0.518037728
107.9746024,11.84652108,0.036327626,0.150467878
16.40320097,16.08795069,0.347072235,0.612942836
256.6069718,11.60243674,0.589788583,0.291183637
230.7625308,5.509231846,0.532453629,1.089387113
164.9537523,6.065391729,0.36839076,0.889524034
50,6.727355941,5.29E-05,1.445497195
50,15.75658953,0.135387204,0.519024276
100,5.413025373,0.522309959,0.487466527
100,5.324908804,0.871633564,0.637055747
161.3612728,4.780522432,0.28707736,0.52311929
28.71893108,11.59791313,0.29402271,0.984369187
6.772037988,12.45088506,0.929878641,0.626885701
120.8519182,12.08445024,0.352318899,0.299968261
127.1111249,11.0301504,0.475943169,0.989278906
50,5.12606171,4.08E-05,0.245386383
50,5.445226262,0.01798375,0.14206315
10.48317933,12.00527484,0.036742331,0.706968478
6.104059582,15.90925999,0.020224639,1.864751902
100,5.179596746,0.047045165,0.229342233
106.8996263,12.14969152,0.139634375,0.357019917
143.1362306,5.126841397,0.075039289,0.282047785
98.90686839,11.44579782,0.235527422,1.270125877
106.9623417,10.97932347,0.120693137,1.849358236
50,12.20955779,0.106578855,0.376581996
82.69248618,5.818929068,0.435115325,0.528046389
82.69248618,5.656695904,0.252166256,0.360561255
89.99546942,5.023367494,0.24237002,0.280569866
40.56102509,12.12012049,0.068126738,0.411431423
118.2128205,11.71741004,0.081294452,0.213074486
45.25891151,12.55427336,0.178720508,1.370384172
171.3146335,5.064295273,0.310528585,0.429932529
124.0210812,15.61186899,0.387382887,1.734929528
100,4.791103584,0.06808266,0.602359314
50,11.29264536,0.190050909,1.297409069
50,6.202626139,0.09970276,1.783880127
128.469698,4.932703836,0.712265432,0.931655593
78.03479641,11.93639755,0.001603167,0.104046454
97.98735948,5.7608387,0.173738654,0.887791071
3.291237974,5.221818336,0.327385726,12.78116671
32.34405167,3.903486609,0.207569846,13.68383616
2.687343237,7.669872353,12.95934273,14.74519417
50,5.557751649,0.033557882,0.27510235
100,5.241192696,0.110416742,0.200430581
100,11.81788572,0.169921368,0.871968773
118.8234559,5.405218633,0.513030617,0.329805102
4.803371726,12.21623964,0.061908405,0.451560831
88.15507804,5.1971412,0.078402429,0.259416296
86.71198656,12.2509434,0.08026286,0.664506834
144.8709349,16.38930729,0.190332477,0.480415558
24.00069163,12.78697893,0.324165032,0.943946648
100,5.232935165,0.062960406,0.300483867
52.05112387,5.524968213,0.088675046,0.256166062
50,11.43895928,0.944580942,0.810890122
117.1860815,5.174741953,0.267404773,0.46111506
45.41184308,11.26014301,0.064260514,0.814410879
127.4996012,4.692867264,0.356177316,0.616615235
39.02064435,11.62353491,0.426674309,0.737367647
75.92617568,11.61577133,0.219384134,0.562240947
74.99296868,16.00281557,0.568505318,0.586396922
100,5.603644883,0.113470907,0.492705868
50,15.44561739,0.064556112,0.670703981
36.58595214,5.286065989,0.00545462,0.399047497
42.22984536,5.77178167,0.299987122,0.468877444
27.70688283,12.51137026,0.010711929,0.757053309
159.1649451,5.347563452,0.137329874,0.090370055
68.0127618,11.63357216,0.151370565,0.550042327
63.49787178,12.21187435,0.281830818,0.446383919
176.9548956,11.40910657,0.446072689,0.52373102
50,4.831613645,0.806240238,0.613050766
9.289266886,11.88217678,0.167508653,0.71099439
2.873768354,12.14893017,0.820573155,0.355342642
60.34662395,15.63134868,0.523851081,0.922395149
132.2913026,5.494409944,0.926970701,0.719136067
73.8955233,11.66018102,0.09028702,0.433738994
127.4808854,5.059009214,0.320915649,0.249121561
160.3584997,5.334714354,0.13942913,0.466964934
170.8796572,12.2874832,0.530791299,0.944773781
50,12.4273666,0.105852504,0.568840391
83.94148312,12.10303033,0.273138832,0.252342699
44.43564796,16.33817871,0.032505268,0.804601702
165.4252666,5.246938419,0.07287576,0.504515293
83.94148312,11.37470734,0.402719113,0.523049017
132.3091543,5.663358613,0.282976614,0.49254959
